timestamp,player,prop_type,line_value,book,over_odds,under_odds
2026-04-01T06:20:40Z,Paolo Banchero,Points Rebounds Assists,37.5,fanduel,-110,-120
2026-04-01T06:20:40Z,Dyson Daniels,Points Rebounds Assists,22.5,fanduel,-118,-112
2026-04-01T06:20:40Z,Wendell Carter Jr,Rebounds,7.5,fanduel,-118,-112
2026-04-01T06:20:40Z,Jalen Johnson,Rebounds,9.5,fanduel,106,-140
2026-04-01T06:20:40Z,Onyeka Okongwu,Rebounds,7.5,fanduel,110,-146
2026-04-01T06:20:40Z,Paolo Banchero,Rebounds,8.5,fanduel,104,-138
2026-04-01T06:20:40Z,Jalen Suggs,Rebounds,4.5,fanduel,122,-162
2026-04-01T06:20:40Z,Dyson Daniels,Rebounds,6.5,fanduel,118,-158
2026-04-01T06:20:40Z,Desmond Bane,Rebounds,3.5,fanduel,-172,128
2026-04-01T06:20:40Z,Nickeil Alexander-Walker,Rebounds,3.5,fanduel,130,-174
2026-04-01T06:20:40Z,C.J. McCollum,Rebounds,3.5,fanduel,134,-180
2026-04-01T06:20:40Z,Tristan da Silva,Rebounds,3.5,fanduel,-158,118
2026-04-01T06:20:40Z,Jonathan Kuminga,Rebounds,4.5,fanduel,-106,-125
2026-04-01T06:20:40Z,Jock Landale,Rebounds,4.5,fanduel,100,-132
2026-04-01T06:20:40Z,Jalen Suggs,Steals,1.5,fanduel,110,-146
2026-04-01T06:20:40Z,Dyson Daniels,Steals,1.5,fanduel,-154,116
2026-04-01T06:20:40Z,Nickeil Alexander-Walker,Steals,1.5,fanduel,178,-245
2026-04-01T06:20:40Z,Jalen Johnson,Steals,1.5,fanduel,194,-270
2026-04-01T06:20:40Z,Desmond Bane,Steals,0.5,fanduel,-225,164
2026-04-01T06:20:40Z,Jalen Suggs,Threes,1.5,fanduel,-180,134
2026-04-01T06:20:40Z,Onyeka Okongwu,Threes,1.5,fanduel,-158,118
2026-04-01T06:20:40Z,Nickeil Alexander-Walker,Threes,2.5,fanduel,-186,138
2026-04-01T06:20:40Z,C.J. McCollum,Threes,2.5,fanduel,-102,-130
2026-04-01T06:20:40Z,Jalen Johnson,Threes,1.5,fanduel,-200,148
2026-04-01T06:20:40Z,Tristan da Silva,Threes,1.5,fanduel,100,-132
2026-04-01T06:20:40Z,Paolo Banchero,Threes,1.5,fanduel,194,-270
2026-04-01T06:20:40Z,Desmond Bane,Threes,1.5,fanduel,-188,140
2026-04-01T06:20:40Z,VJ Edgecombe,Assists,3.5,fanduel,-152,114
2026-04-01T06:20:40Z,Kelly Oubre Jr,Assists,1.5,fanduel,-122,-108
2026-04-01T06:20:40Z,Tyrese Maxey,Assists,7.5,fanduel,120,-160
2026-04-01T06:20:40Z,Carlton Carrington,Assists,5.5,fanduel,110,-146
2026-04-01T06:20:40Z,Quentin Grimes,Assists,3.5,fanduel,100,-132
2026-04-01T06:20:40Z,Paul George,Assists,3.5,fanduel,-172,128
2026-04-01T06:20:40Z,Joel Embiid,Assists,4.5,fanduel,108,-144
2026-04-01T06:20:40Z,VJ Edgecombe,Points,14.5,fanduel,-118,-112
2026-04-01T06:20:40Z,Kelly Oubre Jr,Points,11.5,fanduel,-114,-114
2026-04-01T06:20:40Z,Carlton Carrington,Points,11.5,fanduel,-106,-125
2026-04-01T06:20:40Z,Tyrese Maxey,Points,25.5,fanduel,-114,-114
2026-04-01T06:20:40Z,Will Riley,Points,13.5,fanduel,-125,-106
2026-04-01T06:20:40Z,Joel Embiid,Points,28.5,fanduel,-108,-122
2026-04-01T06:20:40Z,Paul George,Points,17.5,fanduel,100,-132
2026-04-01T06:20:40Z,Dominick Barlow,Points,5.5,fanduel,-130,-102
2026-04-01T06:20:40Z,Quentin Grimes,Points,12.5,fanduel,-102,-130
2026-04-01T06:20:40Z,Bilal Coulibaly,Points,12.5,fanduel,-108,-122
